"filename", "language", "JSON with Comments", "HTML", "XML", "TypeScript", "JSON", "JavaScript", "TypeScript JSX", "CSS", "comment", "blank", "total"
"e:\Workspace\Edu_Learn_Next\interface\common.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"e:\Workspace\Edu_Learn_Next\interface\exercises.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 3, 21
"e:\Workspace\Edu_Learn_Next\interface\news.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"e:\Workspace\Edu_Learn_Next\interface\students.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"e:\Workspace\Edu_Learn_Next\lib\api\auth.ts", "TypeScript", 0, 0, 0, 73, 0, 0, 0, 0, 0, 14, 87
"e:\Workspace\Edu_Learn_Next\lib\api\backup.ts", "TypeScript", 0, 0, 0, 109, 0, 0, 0, 0, 4, 17, 130
"e:\Workspace\Edu_Learn_Next\lib\api\classes.ts", "TypeScript", 0, 0, 0, 465, 0, 0, 0, 0, 12, 77, 554
"e:\Workspace\Edu_Learn_Next\lib\api\documents.ts", "TypeScript", 0, 0, 0, 234, 0, 0, 0, 0, 1, 36, 271
"e:\Workspace\Edu_Learn_Next\lib\api\events.ts", "TypeScript", 0, 0, 0, 169, 0, 0, 0, 0, 2, 28, 199
"e:\Workspace\Edu_Learn_Next\lib\api\index.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 1, 2, 7
"e:\Workspace\Edu_Learn_Next\lib\api\notifications.ts", "TypeScript", 0, 0, 0, 98, 0, 0, 0, 0, 2, 21, 121
"e:\Workspace\Edu_Learn_Next\lib\api\stats.ts", "TypeScript", 0, 0, 0, 26, 0, 0, 0, 0, 0, 7, 33
"e:\Workspace\Edu_Learn_Next\lib\api\users.ts", "TypeScript", 0, 0, 0, 294, 0, 0, 0, 0, 6, 45, 345
"e:\Workspace\Edu_Learn_Next\lib\api\vocabulary.ts", "TypeScript", 0, 0, 0, 110, 0, 0, 0, 0, 7, 16, 133
"e:\Workspace\Edu_Learn_Next\lib\utils\auth-server.ts", "TypeScript", 0, 0, 0, 50, 0, 0, 0, 0, 0, 6, 56
"e:\Workspace\Edu_Learn_Next\lib\utils\classUtils.ts", "TypeScript", 0, 0, 0, 36, 0, 0, 0, 0, 16, 10, 62
"e:\Workspace\Edu_Learn_Next\lib\utils\cookies.ts", "TypeScript", 0, 0, 0, 29, 0, 0, 0, 0, 14, 9, 52
"e:\Workspace\Edu_Learn_Next\middleware.ts", "TypeScript", 0, 0, 0, 61, 0, 0, 0, 0, 8, 14, 83
"e:\Workspace\Edu_Learn_Next\next.config.ts", "TypeScript", 0, 0, 0, 34, 0, 0, 0, 0, 0, 7, 41
"e:\Workspace\Edu_Learn_Next\package-lock.json", "JSON", 0, 0, 0, 0, 10386, 0, 0, 0, 0, 1, 10387
"e:\Workspace\Edu_Learn_Next\package.json", "JSON", 0, 0, 0, 0, 37, 0, 0, 0, 0, 1, 38
"e:\Workspace\Edu_Learn_Next\postcss.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 6, 0, 0, 0, 2, 8
"e:\Workspace\Edu_Learn_Next\public\file.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"e:\Workspace\Edu_Learn_Next\public\globe.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"e:\Workspace\Edu_Learn_Next\public\next.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"e:\Workspace\Edu_Learn_Next\public\vercel.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"e:\Workspace\Edu_Learn_Next\public\window.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"e:\Workspace\Edu_Learn_Next\tsconfig.json", "JSON with Comments", 34, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"Total", "-", 34, 378, 5, 2229, 10423, 20, 18356, 140, 508, 2342, 34435
